entry_time,exit_time,entry_price,exit_price,pnl,trades_per_day
2021-05-28 09:30:00,2021-05-28 10:30:00,15435.75,15437.6,1.85,1
2021-05-28 12:00:00,2021-05-28 13:00:00,15428.0,15426.65,-1.35,2
2021-05-28 13:30:00,2021-05-28 13:35:00,15420.65,15444.25,23.600000000000364,3
2021-05-31 09:50:00,2021-05-31 09:55:00,15450.4,15446.25,-4.15,1
2021-05-31 10:10:00,2021-05-31 13:30:00,15484.65,15533.85,49.2,2
2021-06-01 09:30:00,2021-06-01 10:15:00,15617.45,15583.45,-34.0,1
2021-06-01 12:30:00,2021-06-01 13:30:00,15559.75,15601.8,42.05,2
2021-06-02 11:05:00,2021-06-02 11:55:00,15508.45,15484.15,-24.3,1
2021-06-02 12:30:00,2021-06-02 13:10:00,15496.1,15480.65,-15.45,2
2021-06-03 09:30:00,2021-06-03 10:25:00,15661.15,15650.3,-10.85,1
2021-06-03 11:45:00,2021-06-03 12:35:00,15652.75,15646.2,-6.55,2
2021-06-04 09:30:00,2021-06-04 10:45:00,15701.45,15682.5,-18.95,1
2021-06-04 12:20:00,2021-06-04 13:25:00,15675.85,15661.45,-14.4,2
2021-06-07 09:30:00,2021-06-07 11:55:00,15702.6,15732.55,29.95,1
2021-06-07 13:30:00,2021-06-07 13:35:00,15745.05,15752.95,7.900000000001455,2
2021-06-08 10:50:00,2021-06-08 12:05:00,15709.55,15710.45,0.9,1
2021-06-08 12:10:00,2021-06-08 12:15:00,15707.5,15716.95,9.45,2
2021-06-08 12:55:00,2021-06-08 13:30:00,15720.2,15750.45,30.25,3
2021-06-09 09:50:00,2021-06-09 10:55:00,15758.2,15771.6,13.4,1
2021-06-09 11:15:00,2021-06-09 13:05:00,15770.05,15770.9,0.85,2
2021-06-10 09:30:00,2021-06-10 11:30:00,15677.55,15699.55,22.0,1
2021-06-10 11:55:00,2021-06-10 12:50:00,15706.85,15702.8,-4.05,2
2021-06-11 09:30:00,2021-06-11 10:35:00,15807.75,15818.65,10.9,1
2021-06-11 10:50:00,2021-06-11 10:55:00,15818.95,15819.2,0.25,2
2021-06-11 11:00:00,2021-06-11 11:25:00,15819.0,15804.65,-14.35,3
2021-06-11 13:10:00,2021-06-11 13:30:00,15781.5,15768.6,-12.9,4
2021-06-14 10:25:00,2021-06-14 11:05:00,15720.25,15701.6,-18.65,1
2021-06-14 11:55:00,2021-06-14 13:30:00,15717.65,15795.7,78.05,2
2021-06-15 09:30:00,2021-06-15 11:30:00,15868.3,15875.75,7.45,1
2021-06-15 11:40:00,2021-06-15 11:45:00,15874.3,15873.75,-0.55,2
2021-06-15 12:30:00,2021-06-15 13:15:00,15878.95,15878.2,-0.75,3
2021-06-16 11:55:00,2021-06-16 12:20:00,15800.85,15800.2,-0.65,1
2021-06-16 13:30:00,2021-06-16 13:35:00,15796.65,15791.0,-5.649999999999636,2
2021-06-17 10:20:00,2021-06-17 11:30:00,15726.05,15725.0,-1.05,1
2021-06-17 13:00:00,2021-06-17 13:30:00,15716.35,15702.85,-13.5,2
2021-06-18 09:30:00,2021-06-18 09:40:00,15713.2,15704.9,-8.3,1
2021-06-18 09:45:00,2021-06-18 09:50:00,15681.25,15668.25,-13.0,2
2021-06-18 11:45:00,2021-06-18 13:30:00,15557.3,15574.6,17.3,3
2021-06-21 10:25:00,2021-06-21 11:25:00,15586.65,15595.05,8.4,1
2021-06-21 12:00:00,2021-06-21 13:30:00,15610.2,15682.35,72.15,2
2021-06-22 09:30:00,2021-06-22 11:15:00,15840.8,15852.4,11.6,1
2021-06-22 12:15:00,2021-06-22 12:40:00,15855.1,15846.95,-8.15,2
2021-06-23 09:50:00,2021-06-23 10:10:00,15799.35,15780.45,-18.9,1
