,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator
2132,BSEFO,820788,2,SENSEX,SENSEX26DEC72000PE,IO,SENSEX-IO,12635900820788,2126.4,1660.8,1000,0.05,10,1,-1,SENSEX,2026-12-25T00:00:00,72000,4,SENSEX 25DEC2026 PE 72000,1
2133,BSEFO,1168119,2,SENSEX50,SENSEX5025JAN23800CE,IO,SENSEX50-IO,12503001168119,2106.95,625.55,1800,0.05,25,1,-1,SNSX50,2025-01-30T00:00:00,23800,3,SENSEX50 30JAN2025 CE 23800,1
2134,BSEFO,1164410,2,SENSEX,SENSEX25JAN83400PE,IO,SENSEX-IO,12503101164410,6995.8,2584,1000,0.05,10,1,-1,SENSEX,2025-01-31T00:00:00,83400,4,SENSEX 31JAN2025 PE 83400,1
2135,BSEFO,1138020,2,SENSEX,SENSEX24DEC79800CE,IO,SENSEX-IO,12436201138020,445.3,0.05,1000,0.05,10,1,-1,SENSEX,2024-12-27T00:00:00,79800,3,SENSEX 27DEC2024 CE 79800,1
2136,BSEFO,1165864,2,SENSEX50,SENSEX5025JAN26400CE,IO,SENSEX50-IO,12503001165864,232.55,0.05,1800,0.05,25,1,-1,SNSX50,2025-01-30T00:00:00,26400,3,SENSEX50 30JAN2025 CE 26400,1
2137,BSEFO,822401,2,SENSEX,SENSEX2511079900CE,IO,SENSEX-IO,12501000822401,1683.4,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-10T00:00:00,79900,3,SENSEX 10JAN2025 CE 79900,1
2138,BSEFO,839570,2,BANKEX,BANKEX25FEB53800PE,IO,BANKEX-IO,12505500839570,368.25,81.55,900,0.05,30,1,-1,BANKEX,2025-02-24T00:00:00,53800,4,BANKEX 24FEB2025 PE 53800,1
2139,BSEFO,1146314,2,SENSEX,SENSEX25SEP83000PE,IO,SENSEX-IO,12526901146314,6224.1,3993.05,1000,0.05,10,1,-1,SENSEX,2025-09-26T00:00:00,83000,4,SENSEX 26SEP2025 PE 83000,1
2140,BSEFO,843240,2,SENSEX,SENSEX25JUN82000PE,IO,SENSEX-IO,12517800843240,5638.1,3211.7,1000,0.05,10,1,-1,SENSEX,2025-06-27T00:00:00,82000,4,SENSEX 27JUN2025 PE 82000,1
2141,BSEFO,1140657,2,SENSEX,SENSEX25DEC89000PE,IO,SENSEX-IO,12536001140657,9866.7,7036.5,1000,0.05,10,1,-1,SENSEX,2025-12-26T00:00:00,89000,4,SENSEX 26DEC2025 PE 89000,1
2142,BSEFO,823971,2,SENSEX,SENSEX25FEB83400PE,IO,SENSEX-IO,12505900823971,6819.3,2967.5,1000,0.05,20,1,-1,SENSEX,2025-02-28T00:00:00,83400,4,SENSEX 28FEB2025 PE 83400,1
2143,BSEFO,1147655,2,SENSEX50,SENSEX5024DEC26250CE,IO,SENSEX50-IO,12436101147655,2.95,0.05,1800,0.05,25,1,-1,SNSX50,2024-12-26T00:00:00,26250,3,SENSEX50 26DEC2024 CE 26250,1
2144,BSEFO,822299,2,SENSEX,SENSEX2511077700CE,IO,SENSEX-IO,12501000822299,3567.35,0.6,1000,0.05,20,1,-1,SENSEX,2025-01-10T00:00:00,77700,3,SENSEX 10JAN2025 CE 77700,1
2145,BSEFO,823998,2,SENSEX50,SENSEX5025FEB26200PE,IO,SENSEX50-IO,12505800823998,1726.95,601.85,1800,0.05,60,1,-1,SNSX50,2025-02-27T00:00:00,26200,4,SENSEX50 27FEB2025 PE 26200,1
2146,BSEFO,1165149,2,BANKEX,BANKEX25JAN55900CE,IO,BANKEX-IO,12502701165149,4672.65,1314.2,900,0.05,15,1,-1,BANKEX,2025-01-27T00:00:00,55900,3,BANKEX 27JAN2025 CE 55900,1
2147,BSEFO,821731,2,SENSEX,SENSEX25JAN73200PE,IO,SENSEX-IO,12503100821731,353.85,29.75,1000,0.05,10,1,-1,SENSEX,2025-01-31T00:00:00,73200,4,SENSEX 31JAN2025 PE 73200,1
2148,BSEFO,825586,2,SENSEX,SENSEX2512484000CE,IO,SENSEX-IO,12502400825586,534.95,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-24T00:00:00,84000,3,SENSEX 24JAN2025 CE 84000,1
2149,BSEFO,1166060,2,SENSEX50,SENSEX5025JAN25350PE,IO,SENSEX50-IO,12503001166060,1007.85,100.7,1800,0.05,25,1,-1,SNSX50,2025-01-30T00:00:00,25350,4,SENSEX50 30JAN2025 PE 25350,1
2150,BSEFO,1165652,2,BANKEX,BANKEX25JAN63100CE,IO,BANKEX-IO,12502701165652,288.85,0.05,900,0.05,15,1,-1,BANKEX,2025-01-27T00:00:00,63100,3,BANKEX 27JAN2025 CE 63100,1
2151,BSEFO,1140905,2,SENSEX,SENSEX24DEC87700PE,IO,SENSEX-IO,12436201140905,11851.55,6505.4,1000,0.05,10,1,-1,SENSEX,2024-12-27T00:00:00,87700,4,SENSEX 27DEC2024 PE 87700,1
2152,BSEFO,1164601,2,SENSEX,SENSEX25JAN77000PE,IO,SENSEX-IO,12503101164601,1711.1,219,1000,0.05,10,1,-1,SENSEX,2025-01-31T00:00:00,77000,4,SENSEX 31JAN2025 PE 77000,1
2153,BSEFO,1169688,2,SENSEX,SENSEX2510373900CE,IO,SENSEX-IO,12500301169688,7372.6,2077.35,1000,0.05,10,1,-1,SENSEX,2025-01-03T00:00:00,73900,3,SENSEX 03JAN2025 CE 73900,1
2154,BSEFO,838726,2,SENSEX,SENSEX25FEB74400CE,IO,SENSEX-IO,12505900838726,7898.2,3317.3,1000,0.05,20,1,-1,SENSEX,2025-02-28T00:00:00,74400,3,SENSEX 28FEB2025 CE 74400,1
2155,BSEFO,822318,2,SENSEX,SENSEX2511076500PE,IO,SENSEX-IO,12501000822318,913.15,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-10T00:00:00,76500,4,SENSEX 10JAN2025 PE 76500,1
2156,BSEFO,870751,2,SENSEX,SENSEX28JUN75000PE,IO,SENSEX-IO,12818200870751,2760.3,2369.95,1000,0.05,10,1,-1,SENSEX,2028-06-30T00:00:00,75000,4,SENSEX 30JUN2028 PE 75000,1
2157,BSEFO,839654,2,SENSEX,SENSEX2512474800CE,IO,SENSEX-IO,12502400839654,6792.4,2047.2,1000,0.05,20,1,-1,SENSEX,2025-01-24T00:00:00,74800,3,SENSEX 24JAN2025 CE 74800,1
2158,BSEFO,852792,2,SENSEX,SENSEX25JUN74000CE,IO,SENSEX-IO,12517800852792,10525.2,6024.4,1000,0.05,10,1,-1,SENSEX,2025-06-27T00:00:00,74000,3,SENSEX 27JUN2025 CE 74000,1
2159,BSEFO,836374,2,SENSEX,SENSEX2511786100CE,IO,SENSEX-IO,12501700836374,94.95,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-17T00:00:00,86100,3,SENSEX 17JAN2025 CE 86100,1
